1  /pdo/spoc-data/sector-001-20210219 tess2018206045859 120
2  /pdo/spoc-data/sector-002-20210219 tess2018234235059 121
3  /pdo/spoc-data/sector-003-20210219 tess2018263035959 123
4  /pdo/spoc-data/sector-004-20210219 tess2018292075959 124
5  /pdo/spoc-data/sector-005-20210219 tess2018319095959 125
6  /pdo/spoc-data/sector-006-20210219 tess2018349182459 126
7  /pdo/spoc-data/sector-007 tess2019006130736 131
8  /pdo/spoc-data/sector-008 tess2019032160000 136
9  /pdo/spoc-data/sector-009 tess2019058134432 139
10 /pdo/spoc-data/sector-010 tess2019085135100 140
11 /pdo/spoc-data/sector-011 tess2019112060037 143
12 /pdo/spoc-data/sector-012 tess2019140104343 144
13 /pdo/spoc-data/sector-013 tess2019169103026 146
14 /pdo/spoc-data/sector-014-reprocessed tess2019198215352 150
15 /pdo/spoc-data/sector-015-reprocessed tess2019226182529 151
16 /pdo/spoc-data/sector-016-reprocessed tess2019253231442 152
17 /pdo/spoc-data/sector-017-reprocessed tess2019279210107 161
18 /pdo/spoc-data/sector-018-reprocessed tess2019306063752 162
19 /pdo/spoc-data/sector-019-reprocessed tess2019331140908 164
20 /pdo/spoc-data/sector-020 tess2019357164649 165
21 /pdo/spoc-data/sector-021 tess2020020091053 167
22 /pdo/spoc-data/sector-022 tess2020049080258 174
23 /pdo/spoc-data/sector-023 tess2020078014623 177
24 /pdo/spoc-data/sector-024 tess2020106103520 180
25 /pdo/spoc-data/sector-025 tess2020133194932 182
26 /pdo/spoc-data/sector-026 tess2020160202036 188
27 /pdo/spoc-data/sector-027 tess2020186164531 189
28 /pdo/spoc-data/sector-028 tess2020212050318 190
29 /pdo/spoc-data/sector-029 tess2020238165205 193
30 /pdo/spoc-data/sector-030 tess2020266004630 195
31 /pdo/spoc-data/sector-031 tess2020294194027 198
32 /pdo/spoc-data/sector-032 tess2020324010417 200
33 /pdo/spoc-data/sector-033 tess2020351194500 203
34 /pdo/spoc-data/sector-034 tess2021014023720 204
35 /pdo/spoc-data/sector-035 tess2021039152502 205
36 /pdo/spoc-data/sector-036 tess2021065132309 207
37 /pdo/spoc-data/sector-037 tess2021091135823 208
38 /pdo/spoc-data/sector-038 tess2021118034608 209
39 /pdo/spoc-data/sector-039 tess2021146024351 210
40 /pdo/spoc-data/sector-040 tess2021175071901 211
41 /pdo/spoc-data/sector-041 tess2021204101404 212
42 /pdo/spoc-data/sector-042 tess2021232031932 213
43 /pdo/spoc-data/sector-043 tess2021258175143 214
44 /pdo/spoc-data/sector-044 tess2021284114741 215
45 /pdo/spoc-data/sector-045 tess2021310001228 216
46 /pdo/spoc-data/sector-046 tess2021336043614 217
47 /pdo/spoc-data/sector-047 tess2021364111932 218
48 /pdo/spoc-data/sector-048 tess2022027120115 219
49 /pdo/spoc-data/sector-049 tess2022057073128 221
50 /pdo/spoc-data/sector-050 tess2022085151738 222
51 /pdo/spoc-data/sector-051 tess2022112184951 223
52 /pdo/spoc-data/sector-052 tess2022138205153 224
53 /pdo/spoc-data/sector-053 tess2022164095748 226
54 /pdo/spoc-data/sector-054 tess2022190063128 227
55 /pdo/spoc-data/sector-055 tess2022217014003 242
56 /pdo/spoc-data/sector-056 tess2022244194134 243
57 /pdo/spoc-data/sector-057 tess2022273202044 245
58 /pdo/spoc-data/sector-058 tess2022302161335 247
59 /pdo/spoc-data/sector-059-20230130 tess2022330142927 248
60 /pdo/spoc-data/sector-060 tess2022357055054 249
61 /pdo/spoc-data/sector-061 tess2023018032328 250
62 /pdo/spoc-data/sector-062 tess2023043185947 254
63 /pdo/spoc-data/sector-063 tess2023069172124 255
64 /pdo/spoc-data/sector-064 tess2023096110322 257
65 /pdo/spoc-data/sector-065 tess2023124020739 259
66 /pdo/spoc-data/sector-066 tess2023153011303 260
67 /pdo/spoc-data/sector-067 tess2023181235917 261
68 /pdo/spoc-data/sector-068 tess2023209231226 262
69 /pdo/spoc-data/sector-069 tess2023237165326 264
70 /pdo/spoc-data/sector-070 tess2023263165758 265
71 /pdo/spoc-data/sector-071 tess2023289093419 266
72 /pdo/spoc-data/sector-072 tess2023315124025 267
73 /pdo/spoc-data/sector-073 tess2023341045131 268
